millis,x_1,y_1,z_1,x_2,y_2,z_2
92224,8.95,-1.41,4.56,3.24,-8.72,3.80
92264,9.14,-1.44,4.82,3.41,-8.66,3.62
92299,9.18,-1.54,4.79,3.30,-8.74,3.84
92334,9.06,-1.47,4.64,3.58,-8.66,3.48
92369,9.01,-1.53,4.52,3.32,-8.70,3.80
92409,9.22,-1.47,4.73,3.34,-8.69,3.42
92444,8.99,-1.47,4.63,3.46,-8.75,3.60
92479,9.15,-1.51,4.76,3.45,-8.65,3.93
92519,9.00,-1.50,4.63,3.38,-8.74,3.49
92554,8.97,-1.52,4.49,3.51,-8.66,3.26
92589,9.01,-1.43,4.91,3.37,-8.56,3.70
92624,9.12,-1.54,4.53,3.44,-8.58,3.53
92664,9.02,-1.48,4.63,3.34,-8.63,3.54
92699,9.07,-1.46,4.67,3.30,-8.56,3.35
92734,9.00,-1.48,4.78,3.38,-8.64,3.70
92774,9.07,-1.47,4.82,3.34,-8.61,3.55
92809,8.95,-1.47,4.74,3.48,-8.69,3.52
92844,9.02,-1.44,4.64,3.53,-8.78,3.41
92879,9.13,-1.49,4.66,3.41,-8.72,3.72
92919,9.03,-1.39,4.71,3.39,-8.62,3.64
92954,8.79,-1.45,4.67,3.27,-8.68,3.85
92989,8.96,-1.45,4.78,3.27,-8.60,3.48
93024,9.21,-1.48,4.66,3.53,-8.74,3.69
93064,8.87,-1.41,4.81,3.56,-8.71,3.53
93100,9.18,-1.58,4.61,3.36,-8.63,3.40
93134,6.22,-0.55,2.32,3.44,-8.60,3.54
93174,11.67,-2.37,4.95,3.46,-8.38,3.23
93209,6.65,-2.53,5.30,3.61,-8.60,3.55
93244,10.40,-0.30,4.55,3.44,-8.89,3.56
93279,10.55,-3.19,7.60,3.36,-8.85,3.70
93319,8.28,-1.77,4.47,3.14,-8.81,3.61
93355,10.67,-1.07,4.30,3.36,-8.90,3.63
93389,8.51,-1.40,3.66,3.33,-8.81,3.62
93424,7.40,-2.08,3.05,3.40,-8.68,3.59
93464,10.22,-0.55,4.06,3.36,-8.70,3.43
93499,8.99,-1.46,5.33,3.33,-8.65,3.61
93534,9.20,-1.26,5.09,3.28,-8.72,3.55
93574,10.52,1.50,2.54,3.55,-8.71,3.22
93609,10.46,2.32,1.52,3.47,-8.80,3.44
93644,7.44,-0.86,4.36,3.42,-8.64,3.31
93679,11.70,-6.22,10.38,3.42,-8.72,3.57
93719,8.23,-3.65,5.24,3.19,-8.80,3.59
93754,7.82,1.65,0.57,3.33,-8.64,3.71
93789,11.64,7.10,0.04,3.54,-8.60,3.23
93829,10.24,0.69,2.92,3.32,-8.76,3.47
93864,9.57,-6.52,10.27,3.45,-8.64,3.67
93899,7.28,-4.99,6.99,3.39,-8.81,3.39
93934,9.56,4.66,-0.52,3.28,-8.72,3.77
93974,12.96,7.25,-1.11,3.34,-8.76,3.52
94009,9.28,-5.89,7.10,3.30,-8.72,3.64
94044,6.19,-7.29,9.92,3.42,-8.72,3.59
94084,9.15,1.71,0.94,3.43,-8.60,3.32
94119,12.04,7.70,-1.92,3.50,-8.56,3.59
94154,9.81,-3.62,6.45,3.47,-8.76,3.77
94189,7.75,-5.17,7.98,3.29,-8.75,3.51
94229,10.02,3.82,-0.34,3.37,-8.64,3.45
94264,9.19,1.80,2.22,3.48,-8.66,3.35
94299,8.28,-5.59,11.06,3.52,-8.73,3.38
94334,11.46,1.91,-0.18,3.34,-8.69,3.59
94374,9.99,4.79,-1.70,3.45,-8.73,3.81
94409,6.66,-5.98,12.27,3.40,-8.63,3.93
94444,8.04,-3.68,7.86,3.21,-8.78,3.59
94484,13.26,5.16,-3.21,3.36,-8.75,3.79
94519,9.84,2.84,0.75,3.23,-8.70,3.49
94554,7.54,-5.64,9.31,3.37,-8.73,3.35
94589,8.92,-2.19,5.89,3.38,-8.74,3.74
94629,12.38,6.42,-2.95,3.32,-8.77,3.42
94664,9.14,1.74,1.45,3.30,-8.71,3.56
94699,6.57,-7.45,11.71,3.64,-8.62,3.43
94739,11.43,-0.03,3.70,3.42,-8.68,3.86
94774,12.64,7.92,-2.62,3.40,-8.61,3.54
94809,7.48,0.46,2.47,3.27,-8.66,3.91
94844,7.36,-6.94,12.66,3.47,-8.66,3.76
94884,11.44,3.08,-0.12,3.44,-8.69,3.53
94919,12.62,6.97,-3.07,3.34,-8.70,3.07
94954,6.38,-4.87,8.66,3.44,-8.69,3.83
94994,6.06,-4.51,8.33,3.56,-8.62,3.66
95029,16.62,9.10,-4.45,3.37,-8.67,3.48
95064,9.31,1.23,1.71,3.44,-8.69,3.41
95099,4.34,-8.53,15.45,3.38,-8.71,3.51
95139,13.57,1.49,3.38,3.15,-8.76,3.81
95174,13.89,8.42,-4.90,3.35,-8.73,3.63
95209,6.39,-3.53,5.87,3.43,-8.75,3.73
95249,4.92,-6.15,10.42,3.58,-8.60,3.30
95284,17.16,7.15,-2.08,3.31,-8.76,3.69
95319,9.59,3.93,-1.17,3.38,-8.81,3.58
95354,5.73,-8.75,15.06,3.38,-8.67,3.42
95394,11.27,1.02,3.05,3.52,-8.80,3.33
95429,14.15,9.24,-2.96,3.29,-8.65,3.43
95464,7.29,-2.27,4.36,3.37,-8.80,3.45
95504,5.63,-6.02,9.55,3.38,-8.65,3.48
95539,15.76,7.43,-1.24,3.34,-8.70,3.49
95575,10.09,4.20,-0.94,3.21,-8.75,3.69
95609,7.46,-6.96,11.47,3.52,-8.73,3.94
95649,6.03,-4.39,7.44,3.41,-8.69,3.38
95684,17.32,9.48,-4.00,3.28,-8.65,3.54
95719,7.49,0.51,2.36,3.45,-8.78,3.38
95754,4.99,-8.20,14.30,3.38,-8.66,3.55
95794,12.41,0.99,2.83,3.23,-8.84,3.69
95830,14.49,8.70,-3.78,3.15,-8.70,3.74
95864,8.07,-1.12,4.65,3.35,-8.66,3.35
95904,3.76,-8.38,13.12,3.53,-8.70,3.64
95939,11.22,1.03,2.08,3.42,-8.76,3.29
95974,13.78,6.29,-1.66,3.39,-8.62,3.44
96009,7.61,-2.28,4.86,3.30,-8.68,3.47
96049,6.84,-4.43,7.45,3.46,-8.63,3.58
96084,11.57,2.37,1.50,3.38,-8.68,3.96
96119,11.12,2.07,2.27,3.27,-8.77,3.46
96154,8.52,-2.75,6.54,3.42,-8.77,3.43
96194,7.90,-2.34,5.12,3.29,-8.68,3.91
96229,10.54,2.43,1.88,3.42,-8.77,3.50
96264,10.76,1.75,2.21,3.43,-8.74,3.52
96304,8.67,-2.92,6.17,3.40,-8.71,3.51
96339,7.18,-3.88,7.22,3.41,-8.70,3.79
96374,11.61,2.76,0.68,3.30,-8.72,3.48
96409,11.15,3.01,1.65,3.29,-8.65,3.59
96449,8.84,-2.07,6.16,3.45,-8.79,3.60
96484,7.37,-2.94,5.71,3.37,-8.75,3.50
96519,9.26,0.69,2.61,3.44,-8.67,3.55
96559,12.12,2.41,2.34,3.39,-8.68,3.45
96594,8.08,-2.39,5.08,3.44,-8.73,3.38
96629,7.01,-3.80,6.10,3.49,-8.68,3.34
96664,11.94,2.07,1.65,3.38,-8.69,3.55
96704,10.34,2.27,1.62,3.40,-8.80,3.71
96739,8.28,-3.36,6.60,3.19,-8.60,3.37
96774,6.97,-3.82,5.88,3.37,-8.65,3.74
96809,14.29,4.94,-0.47,3.59,-8.69,3.36
96849,9.38,1.30,2.07,3.35,-8.63,3.51
96884,6.71,-6.92,10.07,3.32,-8.83,3.47
96919,9.84,-1.17,4.59,3.35,-8.80,3.62
96959,13.40,5.28,-0.08,3.25,-8.71,3.62
96994,8.07,-0.66,3.42,3.25,-8.78,3.55
97029,5.44,-6.34,9.38,3.41,-8.64,3.60
97064,11.98,0.76,2.18,3.33,-8.64,3.20
97104,11.70,3.85,0.49,3.45,-8.64,3.78
97139,7.71,-1.85,4.77,3.40,-8.66,3.74
97174,5.92,-5.70,8.46,3.31,-8.58,3.44
97214,12.62,2.73,0.47,3.32,-8.70,3.18
97249,10.90,3.15,1.64,3.38,-8.80,3.87
97284,7.27,-2.72,5.33,3.42,-8.80,3.84
97319,5.85,-4.89,6.68,3.38,-8.64,3.61
97359,14.46,4.37,0.15,3.35,-8.65,3.73
97394,9.95,1.73,2.17,3.34,-8.70,3.51
97429,6.30,-5.47,8.47,3.52,-8.78,3.60
97469,7.35,-2.66,4.99,3.36,-8.67,3.46
97504,16.05,6.85,-1.31,3.28,-8.67,3.60
97539,7.71,-0.59,2.82,3.34,-8.80,3.22
97574,4.23,-7.03,9.85,3.21,-8.68,3.10
97614,11.12,0.51,3.11,3.39,-8.70,3.26
97649,12.83,4.17,-0.01,3.36,-8.65,3.47
97684,8.12,-1.97,4.65,3.26,-8.72,3.48
97724,7.26,-4.03,7.30,3.32,-8.68,3.63
97759,14.27,2.82,1.21,3.31,-8.59,3.46
97794,11.25,2.36,1.57,3.35,-8.74,3.44
97829,5.31,-4.62,6.69,3.29,-8.71,3.82
97869,9.81,-2.34,6.38,3.52,-8.69,3.48
97904,13.38,5.21,-1.31,3.41,-8.73,3.71
97939,9.05,0.65,3.14,3.35,-8.74,3.93
97979,4.94,-6.11,8.71,3.43,-8.82,3.83
98014,11.47,0.06,3.64,3.21,-8.64,3.64
98049,12.78,4.68,-0.08,3.46,-8.73,3.65
98084,8.22,-1.45,4.40,3.43,-8.70,3.24
98124,5.69,-4.96,8.28,3.34,-8.67,3.54
98159,11.41,0.23,3.60,3.28,-8.60,3.76
98194,12.13,2.83,1.35,3.42,-8.72,3.72
98234,7.41,-2.17,4.90,3.34,-8.79,3.63
98269,6.24,-5.98,9.52,3.34,-8.70,3.79
98305,13.29,3.60,0.19,3.28,-8.76,3.63
98339,10.35,2.28,2.14,3.30,-8.55,3.33
98379,5.86,-4.60,7.21,3.34,-8.68,3.54
98414,11.43,-1.28,5.07,3.33,-8.77,3.52
98449,11.95,3.91,0.12,3.39,-8.69,3.70
98484,8.79,-0.59,3.97,3.41,-8.71,3.70
98524,5.88,-5.58,8.37,3.32,-8.64,3.61
98560,12.46,0.76,3.07,3.31,-8.75,3.42
